128万 | 11844元/平米 | 锦霞南园 | 3室2厅 | 108.08平米 | 南 北 | 简装 | 无
120万 | 14288元/平米 | 锦绣园 | 2室2厅 | 83.99平米 | 南 北 | 精装 | 无
61万 | 10042元/平米 | 锦江园 | 2室1厅 | 60.75平米 | 南 北 | 简装 | 无
59.8万 | 11812元/平米 | 兰田街 | 2室1厅 | 50.63平米 | 南 | 简装 | 无
480万 | 25639元/平米 | 壹品星海三期 | 3室2厅 | 187.22平米 | 南 北 | 精装 | 有
81万 | 9744元/平米 | 春柳园 | 2室1厅 | 83.13平米 | 南 北 | 精装 | 无
98万 | 17500元/平米 | 帝欧花园 | 2室1厅 | 56平米 | 南 北 | 简装 | 无
135万 | 13400元/平米 | 绿都园 | 2室2厅 | 100.75平米 | 南 北 | 精装 | 无
95万 | 13566元/平米 | 侯一小区 | 2室1厅 | 70.03平米 | 南 北 | 精装 | 无
56万 | 10659元/平米 | 马栏小学南 | 2室1厅 | 52.54平米 | 南 北 | 简装 | 无
179万 | 19147元/平米 | 万合新家园 | 2室2厅 | 93.49平米 | 南 北 | 简装 | 有
125万 | 23265元/平米 | 新华同仁轩 | 2室2厅 | 53.73平米 | 南 北 | 精装 | 有
86.5万 | 12595元/平米 | 锦霞南园 | 2室1厅 | 68.68平米 | 南 西 北 | 简装 | 无
320万 | 22297元/平米 | 大华御庭 | 4室2厅 | 143.52平米 | 南 北 | 其他 | 有
168万 | 19355元/平米 | 锦城东园 | 3室2厅 | 86.8平米 | 南 北 | 精装 | 无
96万 | 11647元/平米 | 绿波小区 | 2室2厅 | 82.43平米 | 南 北 | 简装 | 无
